id,audio,answer,at,user
007jtO0zboMfmk6WmEbV,2_1.wav,ㅗ,2023-09-19T14:04:42.169Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
00GdM1CpptAw1UttIfYg,7_7.wav,ㅐ,2023-09-26T12:25:47.279Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
00oWxK2Sig2FQ4dAHbO9,1_3.wav,ㅜ,2023-09-26T12:30:59.025Z,95qAzR5d0SVmQv1dQKLg3amtOiC2
01bEPzEm2zvvQ5bXVEA6,8_4.wav,ㅏ,2023-09-28T14:15:13.334Z,1tRUN17nz8SNpraO34mm0xJ2VS42
01lyhssv0mmHv4aoOdnp,4_2.wav,ㅗ,2023-09-26T13:02:26.094Z,ueZ3qVI3SFOZ1nWx2Al4Fx0pv2d2
02Gt6IDmfmrrTokBlTLt,1_1.wav,ㅜ,2023-09-29T14:17:51.960Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
03H2UEaVFfezZaPJZXSz,8_8.wav,ㅔ,2023-09-28T14:21:03.126Z,1tRUN17nz8SNpraO34mm0xJ2VS42
03HjII3zpM47n0egedox,7_2.wav,ㅓ,2023-09-27T01:39:28.723Z,uwgxF6VQmggSKpqimilzt8CCpM42
03ZxDs0VPgijSzAT8hqw,10_5.wav,ㅏ,2023-09-30T14:58:49.690Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
03uUu0r5mZGwEgjSbgtI,3_10.wav,ㅣ,2023-09-29T14:56:33.046Z,LYrFonkX4AVb0UQrELmpCFA72On2
04KCOHd2XKkc7kcOy2m6,10_5.wav,ㅏ,2023-09-28T14:21:29.061Z,1tRUN17nz8SNpraO34mm0xJ2VS42
04duINYXAsGNOy2ix2Sf,5_10.wav,ㅔ,2023-09-28T02:32:55.738Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
04wDjbPrNGugQ68D30PZ,2_9.wav,ㅣ,2023-09-27T08:01:25.492Z,Be6njfAEawW9rmwE1LQV5ZfnlcB2
05gs0UMFCucCAImJYm5t,3_9.wav,ㅣ,2023-09-26T12:40:12.933Z,uwgxF6VQmggSKpqimilzt8CCpM42
05jqzTGE88rssyOVSnc1,2_5.wav,ㅜ,2023-10-02T00:45:13.868Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
05mOSAXyzaYDKvf2VV5y,6_9.wav,ㅐ,2023-09-29T05:01:14.395Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
05xcS2Ifi4ICSo9z2lwJ,5_6.wav,ㅡ,2023-09-30T14:18:34.886Z,LYrFonkX4AVb0UQrELmpCFA72On2
05ykXhYVx5HWIrVcAmsW,3_7.wav,ㅣ,2023-09-28T15:37:22.030Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
06I5bKntTNCkSeQ1w3Ag,8_7.wav,ㅐ,2023-09-29T14:52:59.997Z,1tRUN17nz8SNpraO34mm0xJ2VS42
06KSBKMBtCK55fO1ebAz,7_4.wav,ㅓ,2023-09-26T12:27:14.737Z,uwgxF6VQmggSKpqimilzt8CCpM42
06XE0tQbZ1Bx6KaVkaVb,10_8.wav,ㅔ,2023-09-29T14:51:04.572Z,1tRUN17nz8SNpraO34mm0xJ2VS42
07W3RfcdljPuWkzsy4ZE,7_1.wav,ㅓ,2023-09-29T14:34:46.301Z,LYrFonkX4AVb0UQrELmpCFA72On2
0873kL6SYPDUh1Xeg0EM,2_1.wav,ㅗ,2023-09-27T12:54:50.301Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
