time,frequency,confidence
0.000,141.180,0.223742
0.010,139.937,0.707372
0.020,139.870,0.849581
0.030,139.790,0.861414
0.040,139.521,0.890496
0.050,139.286,0.899572
0.060,139.619,0.863674
0.070,139.576,0.872001
0.080,139.505,0.870789
0.090,139.501,0.886932
0.100,139.285,0.900115
0.110,139.620,0.863613
0.120,139.575,0.872012
0.130,139.505,0.870797
0.140,139.501,0.886924
0.150,139.285,0.900106
0.160,139.620,0.863605
0.170,139.575,0.872014
0.180,139.505,0.870798
0.190,139.501,0.886925
0.200,139.285,0.900105
0.210,139.620,0.863601
0.220,139.575,0.872012
0.230,139.505,0.870797
0.240,139.501,0.886924
0.250,139.285,0.900105
0.260,139.620,0.863601
0.270,139.576,0.872011
0.280,139.505,0.870797
0.290,139.501,0.886927
0.300,139.285,0.900106
0.310,139.620,0.863604
0.320,139.575,0.872013
0.330,139.505,0.870797
0.340,139.501,0.886926
0.350,139.285,0.900106
0.360,139.620,0.863602
0.370,139.575,0.872011
0.380,139.505,0.870798
0.390,139.501,0.886926
0.400,139.285,0.900105
0.410,139.620,0.863601
0.420,139.576,0.872005
0.430,139.505,0.870791
0.440,139.501,0.886932
0.450,139.285,0.900114
0.460,139.620,0.863612
0.470,139.576,0.872004
0.480,139.505,0.870791
0.490,139.501,0.886930
0.500,139.285,0.900114
0.510,139.620,0.863611
0.520,139.576,0.872003
0.530,139.505,0.870789
0.540,139.501,0.886932
0.550,139.285,0.900113
0.560,139.620,0.863608
0.570,139.576,0.872002
0.580,139.505,0.870788
0.590,139.501,0.886930
0.600,139.285,0.900113
0.610,139.620,0.863610
0.620,139.575,0.872004
0.630,139.505,0.870791
0.640,139.501,0.886934
0.650,139.285,0.900113
0.660,139.620,0.863608
0.670,139.576,0.872002
0.680,139.505,0.870790
0.690,139.501,0.886932
0.700,139.285,0.900113
0.710,139.620,0.863609
0.720,139.576,0.872004
0.730,139.505,0.870792
0.740,139.501,0.886933
0.750,139.285,0.900113
0.760,139.620,0.863608
0.770,139.576,0.872003
0.780,139.505,0.870790
0.790,139.501,0.886932
0.800,139.285,0.900113
0.810,139.620,0.863609
0.820,139.576,0.872002
0.830,139.505,0.870789
0.840,139.501,0.886932
0.850,139.285,0.900113
0.860,139.620,0.863610
0.870,139.575,0.872003
0.880,139.505,0.870792
0.890,139.501,0.886932
0.900,139.285,0.900113
0.910,139.620,0.863610
0.920,139.576,0.872005
0.930,139.505,0.870791
0.940,139.501,0.886930
0.950,139.285,0.900112
0.960,139.620,0.863609
0.970,139.654,0.862319
0.980,139.550,0.859755
0.990,139.265,0.843858
1.000,138.549,0.650150
