time,frequency,confidence
0.000,32.200,0.091827
0.010,59.879,0.090599
0.020,59.793,0.597902
0.030,59.827,0.705707
0.040,59.717,0.667571
0.050,59.969,0.711079
0.060,60.012,0.674284
0.070,60.522,0.705972
0.080,60.376,0.702365
0.090,59.688,0.667247
0.100,59.625,0.710621
0.110,60.020,0.653451
0.120,60.516,0.709349
0.130,59.997,0.688522
0.140,59.477,0.648949
0.150,59.638,0.720583
0.160,60.298,0.656087
0.170,60.668,0.691650
0.180,60.302,0.647417
0.190,59.614,0.658817
0.200,59.749,0.703864
0.210,59.505,0.688659
0.220,59.854,0.690265
0.230,60.049,0.665457
0.240,60.450,0.626273
0.250,60.109,0.701126
0.260,59.986,0.658232
0.270,60.342,0.701870
0.280,60.118,0.695261
0.290,59.632,0.651514
0.300,59.364,0.751005
0.310,59.642,0.661324
0.320,59.972,0.716718
0.330,59.718,0.613356
0.340,59.218,0.617457
0.350,58.917,0.512978
0.360,60.095,0.455709
0.370,60.135,0.522224
0.380,61.978,0.528518
0.390,61.543,0.221436
0.400,32.248,0.080744
0.410,55.782,0.203329
0.420,55.106,0.361177
0.430,55.500,0.220428
0.440,61.028,0.285129
0.450,61.253,0.384736
0.460,60.666,0.382676
0.470,58.062,0.331322
0.480,61.289,0.264386
0.490,61.235,0.261165
0.500,61.049,0.397643
0.510,61.231,0.406929
0.520,61.552,0.671915
0.530,61.019,0.617771
0.540,59.445,0.660520
0.550,59.442,0.619029
0.560,60.074,0.549383
0.570,60.005,0.574133
0.580,60.100,0.620766
0.590,59.218,0.604016
0.600,59.483,0.441531
0.610,54.766,0.246758
0.620,32.277,0.019955
0.630,33.540,0.139118
0.640,33.439,0.130655
0.650,32.369,0.023461
0.660,59.685,0.039658
0.670,58.063,0.431986
0.680,60.945,0.498760
0.690,58.936,0.439275
0.700,58.345,0.528265
0.710,58.708,0.681660
0.720,59.727,0.594910
0.730,59.937,0.617732
0.740,59.974,0.695115
0.750,60.343,0.717685
0.760,60.065,0.702424
0.770,60.057,0.685037
0.780,59.923,0.633411
0.790,59.455,0.579732
0.800,59.419,0.586156
0.810,60.071,0.446031
0.820,59.799,0.469810
0.830,59.229,0.583234
0.840,55.060,0.180004
0.850,54.541,0.055861
0.860,33.710,0.111032
0.870,33.902,0.110705
0.880,55.107,0.035426
0.890,59.843,0.080097
0.900,60.287,0.265860
0.910,61.399,0.264912
0.920,61.278,0.307335
0.930,58.084,0.188159
0.940,57.235,0.604455
0.950,58.268,0.413228
0.960,60.214,0.353207
0.970,60.856,0.507939
0.980,59.958,0.495598
0.990,58.920,0.567256
1.000,59.329,0.640885
1.010,60.132,0.543685
1.020,60.055,0.404166
1.030,61.238,0.422433
1.040,58.854,0.480883
1.050,59.451,0.511218
1.060,59.836,0.549922
1.070,59.693,0.240425
1.080,49.097,0.014570
1.090,33.569,0.150156
1.100,33.852,0.207034
1.110,32.717,0.042377
1.120,49.534,0.138115
1.130,59.596,0.217885
1.140,58.003,0.390169
1.150,58.038,0.405640
1.160,57.237,0.413898
1.170,57.321,0.376410
1.180,61.280,0.334954
1.190,58.249,0.449800
1.200,58.868,0.406683
1.210,58.939,0.483383
1.220,60.522,0.540454
1.230,60.983,0.607905
1.240,59.823,0.532334
1.250,59.503,0.562215
1.260,59.401,0.446563
1.270,59.365,0.511800
1.280,59.829,0.510339
1.290,59.029,0.511276
1.300,59.937,0.629165
1.310,60.403,0.640785
1.320,59.824,0.340560
1.330,54.561,0.477421
1.340,54.503,0.042824
1.350,32.768,0.180987
1.360,32.607,0.153522
1.370,62.875,0.112199
1.380,61.499,0.259798
1.390,62.004,0.439185
1.400,62.116,0.633160
1.410,60.870,0.499727
1.420,58.727,0.351781
1.430,60.746,0.555363
1.440,60.828,0.620267
1.450,61.333,0.698625
1.460,60.058,0.632696
1.470,59.408,0.621164
1.480,60.485,0.528534
1.490,60.548,0.501274
1.500,59.910,0.432511
1.510,59.087,0.386380
1.520,59.393,0.469287
1.530,60.875,0.629364
1.540,59.992,0.513556
1.550,59.768,0.385736
1.560,55.491,0.187333
1.570,54.704,0.039547
1.580,33.006,0.062600
1.590,32.670,0.042748
1.600,62.462,0.043988
1.610,60.589,0.177471
1.620,59.006,0.304039
1.630,61.102,0.545282
1.640,58.825,0.607241
1.650,58.491,0.494943
1.660,58.057,0.507825
1.670,58.777,0.443164
1.680,60.648,0.505698
1.690,60.037,0.650150
1.700,60.173,0.699655
1.710,59.457,0.626850
1.720,59.782,0.534605
1.730,59.853,0.438652
1.740,58.735,0.501138
1.750,58.831,0.492227
1.760,60.108,0.483356
1.770,59.836,0.589199
1.780,59.774,0.623230
1.790,60.560,0.489752
1.800,62.966,0.062743
1.810,33.399,0.090426
1.820,32.798,0.205101
1.830,55.398,0.035366
1.840,57.867,0.108177
1.850,61.504,0.468816
1.860,61.478,0.388225
1.870,58.955,0.489071
1.880,60.060,0.513485
1.890,60.279,0.563877
1.900,60.913,0.583741
1.910,58.089,0.071344
1.920,55.536,0.035808
